PX,PY,cosP,sinP,dPX,dPY,dcosP,dsinP,P1,P2,P3
0.0,0.0,1.0,0.0,0.5299790188194795,0.196526572856869,-0.06238847537372971,0.3476846687560454,0.0,0.62,0.2
0.5299790188194795,0.196526572856869,0.9376115246262703,0.3476846687560454,1.7540621652832094,-0.004959322603968114,0.05888966232300186,-0.26410605660741204,0.37,1.43,0.0
2.284041184102689,0.1915672502529009,0.9965011869492721,0.0835786121486334,-3.0033173916476015,-1.6260772499809404,-1.4447221200290512,-0.9775014248954008,1.13,0.0,1.18
-0.7192762075449124,-1.4345099997280395,-0.44822093307977906,-0.8939228127467674,1.6793252571126438,-1.2411481520977528,0.7859474403842478,-0.04732147343186566,1.41,0.84,0.0
0.9600490495677314,-2.6756581518257923,0.33772650730446874,-0.9412442861786331,-2.1736264161724717,-0.9193883593135173,-0.6575641040702758,-0.00622809426053994,1.7,0.0,1.39
-1.2135773666047402,-3.5950465111393095,-0.3198375967658071,-0.947472380439173,1.421980483025168,2.603041126985636,0.5254322951311262,-0.0311648455051875,0.45,0.19,0.0
0.2084031164204278,-0.9920053841536737,0.20559469836531913,-0.9786372259443605,-0.5040831746102965,0.551057196801463,-0.7625287472172784,0.14808050588885258,0.34,0.0,0.77
-0.2956800581898687,-0.44094818735221064,-0.5569340488519593,-0.830556720055508,3.7871505196460307,-2.0116794538257414,1.3752181341678988,0.2557427016820377,1.71,1.79,0.0
3.491470461456162,-2.452627641177952,0.8182840853159395,-0.5748140183734702,-3.117965652872957,2.3604688777040606,0.15259845240200476,0.33525797492149534,0.04,0.27,0.0
0.373504808583205,-0.09215876347389175,0.9708825377179443,-0.23955604345197487,0.9277662942637409,1.0434100792858878,-0.16358671713488349,0.8297030235078949,0.0,1.26,0.6
1.301271102846946,0.951251315811996,0.8072958205830608,0.59014698005592,1.6048828411293576,-3.4628306809017237,-0.05069425725623267,-1.2440231719847894,1.78,1.52,0.0
2.9061539439763036,-2.5115793650897276,0.7566015633268282,-0.6538761919288694,-1.3977085797274758,4.803616130219369,-0.20685116557261896,1.4892051691402965,0.0,1.71,1.68
1.5084453642488278,2.2920367651296423,0.5497503977542092,0.8353289772114271,-0.9232421289977111,-2.6419591471029995,0.30851771045722853,-1.3485305501115497,0.42,0.37,0.0
