PX,PY,cosP,sinP,dPX,dPY,dcosP,dsinP,P4,P5,P6
0.0,0.0,1.0,0.0,-0.028020409621763557,-0.0452120149951659,-1.5267897413669698,-0.849995628453771,0.12,0.0,0.0
-0.028020409621763557,-0.0452120149951659,-0.5267897413669698,-0.849995628453771,0.12647743482078944,0.0035410592593807383,1.447703077545071,0.46022822698294547,0.28,0.23,0.0
0.09845702519902587,-0.041670955735785165,0.9209133361781011,-0.3897674014708255,-0.17730096942695792,-0.08770590899545494,-1.4413071757225133,-0.46415897226652697,0.0,0.0,0.19
-0.07884394422793205,-0.1293768647312401,-0.5203938395444122,-0.8539263737373525,-0.1291786003418004,0.8806894918141464,0.2535543819231997,1.8176673679139088,0.0,0.0,0.97
-0.20802254456973246,0.7513126270829062,-0.26683945762121253,0.9637409941765563,-0.6648763225949215,-2.7158232903933928,-0.13921471992932427,-1.8775899996986705,1.45,0.0,1.72
-0.8728988671646539,-1.9645106633104865,-0.4060541775505368,-0.9138490055221142,1.254905974669127,1.4750577501501576,1.0213201062188972,0.12552937680552567,0.68,0.0,0.68
0.3820071075044729,-0.48945291316032885,0.6152659286683604,-0.7883196287165886,-0.7119578686404721,2.744726254400648,-0.7600267768897924,1.7777863016380224,0.0,1.52,0.68
-0.32995076113599914,2.2552733412403194,-0.144760848221432,0.9894666729214338,-0.4470131385874447,-4.030503143293795,-0.25618829690336253,-1.9055669856730977,1.44,0.0,1.7
-0.7769638997234438,-1.7752298020534756,-0.4009491451247945,-0.9161003127516639,0.8488927553939734,2.643315369213484,0.483525337685039,1.9126850670110562,0.0,0.0,0.67
0.07192885567052959,0.8680855671600086,0.08257619256024452,0.9965847542593923,-1.9458246918011388,-0.007650012377845461,-0.9913530260833937,-0.5793022757731294,0.0,1.03,1.4
-1.8738958361306093,0.8604355547821632,-0.9087768335231492,0.4172824784862629,1.3351189883403047,-0.09014334221617248,0.33561989355879096,0.4021631403138458,0.0,0.0,0.91
-0.5387768477903045,0.7702922125659907,-0.5731569399643582,0.8194456188001087,1.425796525432685,-0.9954283238824263,1.54242386522347,-1.065457056743037,0.99,0.1,0.0
0.8870196776423803,-0.22513611131643563,0.9692669252591118,-0.2460114379429283,0.737772409353712,0.8975927070574466,-0.04527597999430644,0.6284257853053821,1.07,1.31,0.0
1.6247920869960923,0.672456595741011,0.9239909452648054,0.3824143473624538,-2.1287509630605235,0.06212550854989929,-1.4897066815236462,0.4421859835549657,0.0,0.19,1.03
-0.5039588760644312,0.7345821042909103,-0.5657157362588408,0.8246003309174195,0.7160284073743971,-0.25234467217659895,0.9682715510965052,0.09079511146821095,0.22,0.0,0.6
0.21206953130996584,0.48223743211431136,0.40255581483766445,0.9153954423856304,0.47504782871441764,0.6955251313862058,0.10136401785193949,-0.051645014181926685,0.0,0.68,0.0
0.6871173600243835,1.1777625635005171,0.5039198326896039,0.8637504282037037,-1.9179817678714293,-1.316695303571299,-1.497609780536237,-0.9759123091996814,0.0,0.0,1.32
-1.2308644078470456,-0.1389327400707819,-0.993689947846633,-0.11216188099597765,0.9891879176875977,-1.586244174522888,0.8549566827067354,-0.8781679030374133,1.55,0.0,1.52
-0.24167649015944798,-1.7251769145936697,-0.1387332651398976,-0.990329784033391,-0.5208101261766933,0.47390889210769593,-0.3816345014086938,0.13638752161910417,1.27,0.0,1.47
-0.7624866163361412,-1.2512680224859738,-0.5203677665485914,-0.8539422624142868,0.4346697516531581,1.5885263976731698,-0.1766305881263457,1.571014987861595,0.0,0.0,0.86
-0.32781686468298316,0.3372583751871959,-0.6969983546749371,0.7170727254473082,1.2706942648035475,-0.15887010599973475,1.6795674472024689,-0.5311749621212722,0.78,0.29,0.0
0.9428774001205644,0.17838826918746117,0.9825690925275317,0.18589776332603591,-2.0568357043214034,0.07810456042634525,-1.9570702813111671,0.03848457345491796,0.0,0.24,1.26
-1.1139583042008392,0.25649282961380643,-0.9745011887836355,0.22438233678095387,2.088010429508044,-0.6430747565288493,1.9039744600409785,-0.593271802635122,0.79,0.46,0.0
0.9740521253072045,-0.38658192691504284,0.9294732712573431,-0.3688894658541682,-0.503497306605406,1.4866501705455375,-0.5361916688252956,1.28830753245308,0.0,0.56,0.0
0.47055481870179855,1.1000682436304947,0.3932816024320476,0.9194180665989117,0.8103275827855363,0.6033100442332946,0.20772351891850704,-0.12017289513373153,0.32,1.15,0.0
1.2808824014873348,1.7033782878637893,0.6010051213505546,0.7992451714651801,-0.7221597550628409,-1.1085769562566807,0.08365073358206732,-0.07037868142294978,0.03,0.11,0.0
0.5587226464244939,0.5948013316071087,0.6846558549326219,0.7288664900422304,2.3326913299500793,-0.7401945630377063,0.31408227340084915,-0.7790875116661982,1.75,1.14,0.0
2.891413976374573,-0.14539323143059762,0.9987381283334711,-0.05022102162396783,-0.4444661094007163,-1.7552630786700758,-0.20899108576783,-0.5632116224037392,1.66,0.0,0.0
2.446947866973857,-1.9006563101006735,0.7897470425656411,-0.613432644027707,-3.4397384762044414,4.156988709392452,-1.1924871364544094,1.5287470254150346,0.0,1.53,1.2
-0.9927906092305846,2.256332399291778,-0.40274009388876836,0.9153143813873275,2.8957418493064075,-3.337684087166359,1.2721712579908628,-1.4093684785144305,1.46,0.2,0.0
1.902951240075823,-1.081351687874581,0.8694311641020945,-0.4940540971271029,-3.048268742204362,0.9324979355246761,-1.8610909342814235,0.36517081579131216,0.0,0.0,1.31
-1.145317502128539,-0.148853752349905,-0.9916597701793289,-0.12888328133579074,-0.040479112051317045,-1.50843261594361,0.40976518705175713,-0.6843809402593741,1.21,0.0,1.68
-1.185796614179856,-1.6572863682935148,-0.5818945831275718,-0.8132642215951649,1.7323763370178566,0.011906461252982892,0.8971461567211314,-0.13574391606582725,1.44,0.0,1.13
0.5465797228380007,-1.645379907040532,0.31525157359355954,-0.9490081376609921,1.434651284056502,-0.054917608059132705,0.44360753636861866,0.2977533094812612,1.59,0.0,0.47
1.9812310068945027,-1.7002975150996646,0.7588591099621782,-0.6512548281797309,-0.5940628156598637,0.969588669062561,0.12589599141954033,0.18519859704552,0.91,0.0,0.13
1.387168191234639,-0.7307088460371036,0.8847551013817185,-0.4660562311342109,-0.8610116480565987,0.771217836094526,0.11229425067899856,0.5428194355703477,0.55,0.0,0.69
0.5261565431780403,0.04050899005742234,0.9970493520607171,0.07676320443613686,-2.2677142195950655,0.4355680773031113,-1.961657390233082,0.18692474123689073,0.0,0.9,1.38
-1.7415576764170253,0.4760770673605336,-0.9646080381723648,0.2636879456730276,2.936674133338558,-1.6904731981515884,1.6660344629025807,-0.9764298138765075,1.45,0.0,0.85
