time,p1,p2,p3,p4,p5,p6,ks,0A_pos_x,0A_pos_y,0A_pos_z,0A_orient_x,0A_orient_y,0A_orient_z,0A_orient_w,0B_pos_x,0B_pos_y,0B_pos_z,0B_orient_x,0B_orient_y,0B_orient_z,0B_orient_w,0C_pos_x,0C_pos_y,0C_pos_z,0C_orient_x,0C_orient_y,0C_orient_z,0C_orient_w
1762609448.285223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9824857711792,28.941059112548828,-221.54481506347656,-0.7135065793991089,0.0016398633597418666,0.0,0.7006465792655945,-5.816424369812012,-49.38994216918945,-217.76998901367188,-0.7369925379753113,0.11382211744785309,0.1315459907054901,0.6531329154968262,14.534029960632324,3.0462660789489746,-221.0478515625,-0.6907907128334045,-0.0146829504519701,0.0,0.7229056358337402
1762609448.7851017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.982123374938965,28.95828628540039,-221.54360961914062,-0.7134643197059631,0.0017715968424454331,0.0,0.7006892561912537,-5.862622261047363,-49.39579391479492,-217.87062072753906,-0.7369059324264526,0.1146487444639206,0.13219903409481049,0.6529536843299866,14.539814949035645,3.073456287384033,-221.10951232910156,-0.690743625164032,-0.014529545791447163,0.0,0.722953736782074
1762609449.285199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.989526748657227,28.953279495239258,-221.5748748779297,-0.7134790420532227,0.0016277222894132137,0.0,0.7006746530532837,-5.88560676574707,-49.40118408203125,-217.80703735351562,-0.7370103597640991,0.11380550265312195,0.13158082962036133,0.6531084179878235,14.533472061157227,3.058779239654541,-221.0486602783203,-0.6907354593276978,-0.014659039676189423,0.0,0.7229588627815247
1762609449.785255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9782075881958,28.963924407958984,-221.5173797607422,-0.7134611010551453,0.0016508152475580573,0.0,0.700692892074585,-5.909115314483643,-49.483245849609375,-217.73988342285156,-0.7371279001235962,0.11397382616996765,0.13169024884700775,0.6529245376586914,14.540886878967285,3.0426650047302246,-221.06118774414062,-0.6907976865768433,-0.014596180990338326,0.0,0.7229007482528687
1762609450.285183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.979461669921875,28.9495849609375,-221.5667266845703,-0.7135428786277771,0.0017455079359933734,0.0,0.7006093859672546,-5.8036370277404785,-49.3818473815918,-217.84759521484375,-0.7371706962585449,0.11310285329818726,0.1307857632637024,0.6532095670700073,14.54296875,3.043572425842285,-221.10617065429688,-0.6908571720123291,-0.014635338447988033,0.0,0.7228431105613708
1762609450.7863116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.97508716583252,28.92325210571289,-221.5323944091797,-0.7135017514228821,0.001713851117528975,0.0,0.7006512880325317,-5.862037658691406,-49.41634750366211,-217.76490783691406,-0.7368853092193604,0.11460474878549576,0.13217848539352417,0.6529892683029175,14.531376838684082,3.032367706298828,-221.021240234375,-0.6907733082771301,-0.014577211812138557,0.0,0.7229243516921997
1762609451.285166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.977829933166504,28.91904067993164,-221.62930297851562,-0.7135708332061768,0.0017775604501366615,0.0,0.700580894947052,-5.856308937072754,-49.41593933105469,-217.82180786132812,-0.7369672060012817,0.11436964571475983,0.13198237121105194,0.6529779434204102,14.529168128967285,3.0091090202331543,-221.12026977539062,-0.6908715963363647,-0.01454978808760643,0.0,0.7228310704231262
1762609451.7851963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.975652694702148,28.978164672851562,-221.5335693359375,-0.7134202122688293,0.00165505800396204,0.0,0.700734555721283,-5.840876579284668,-49.31093215942383,-217.9006805419922,-0.7368281483650208,0.11415974050760269,0.13192802667617798,0.653182327747345,14.546991348266602,3.118175506591797,-221.09022521972656,-0.6906468868255615,-0.014653699472546577,0.0,0.72304368019104
1762609452.2851765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.98501205444336,28.948610305786133,-221.5535430908203,-0.7135263085365295,0.0016582813113927841,0.0,0.7006264925003052,-5.813554286956787,-49.354339599609375,-217.86135864257812,-0.7370041012763977,0.11356088519096375,0.1313726305961609,0.6532004475593567,14.546008110046387,3.042435646057129,-221.0706024169922,-0.6908009052276611,-0.01466504205018282,0.0,0.7228962779045105
1762609452.7856858,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.989473342895508,28.909181594848633,-221.52413940429688,-0.7136119604110718,0.0018567779334262013,0.0,0.7005387544631958,-5.9568257331848145,-49.633670806884766,-217.698486328125,-0.737148642539978,0.1157868504524231,0.1332152932882309,0.6522716879844666,14.543649673461914,3.0268712043762207,-221.06124877929688,-0.6908775568008423,-0.014505998231470585,0.0,0.7228263020515442
