time,p1,p2,p3,p4,p5,p6,ks,0A_pos_x,0A_pos_y,0A_pos_z,0A_orient_x,0A_orient_y,0A_orient_z,0A_orient_w,0B_pos_x,0B_pos_y,0B_pos_z,0B_orient_x,0B_orient_y,0B_orient_z,0B_orient_w,0C_pos_x,0C_pos_y,0C_pos_z,0C_orient_x,0C_orient_y,0C_orient_z,0C_orient_w
1762606570.4100115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.378768920898438,29.199451446533203,-210.72280883789062,-0.6117992997169495,0.027733825147151947,0.0,0.7905266880989075,-5.953633785247803,-49.401275634765625,-217.93296813964844,-0.7429235577583313,0.05552122741937637,0.08216589689254761,0.6619903445243835,14.558637619018555,3.9050941467285156,-217.2526092529297,-0.6360973715782166,-0.02025040239095688,0.0,0.7713429927825928
1762606570.9101434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385208129882812,29.213342666625977,-210.65086364746094,-0.6116211414337158,0.02778770588338375,0.0,0.7906626462936401,-6.0003275871276855,-49.53999710083008,-217.88778686523438,-0.7431584596633911,0.056605998426675797,0.08310575783252716,0.6615172624588013,14.567366600036621,3.891982078552246,-217.22996520996094,-0.6360847353935242,-0.020180925726890564,0.0,0.7713552713394165
1762606571.4099507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.379077911376953,29.235580444335938,-210.73199462890625,-0.6113128066062927,0.02765992470085621,0.0,0.7909054756164551,-5.983413219451904,-49.42273712158203,-218.0208740234375,-0.7429826259613037,0.055798619985580444,0.08248531818389893,0.661861002445221,14.551654815673828,3.9059391021728516,-217.3408660888672,-0.6359318494796753,-0.020299315452575684,0.0,0.7714781761169434
1762606571.9099522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385486602783203,29.21857452392578,-210.68313598632812,-0.6111599206924438,0.02767673134803772,0.0,0.7910231351852417,-6.0154523849487305,-49.41756820678711,-218.0471954345703,-0.7429057955741882,0.056350599974393845,0.08308428525924683,0.6618250012397766,14.548251152038574,3.8660731315612793,-217.31253051757812,-0.6359569430351257,-0.020230907946825027,0.0,0.7714592814445496
1762606572.409995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.388100624084473,29.20653533935547,-210.64007568359375,-0.6110720038414001,0.02771027199923992,0.0,0.7910898327827454,-6.021567344665527,-49.47570037841797,-217.9212188720703,-0.742989182472229,0.05666930228471756,0.08332768827676773,0.661673367023468,14.555991172790527,3.868821144104004,-217.26727294921875,-0.6359099745750427,-0.020247092470526695,0.0,0.7714976072311401
1762606572.9118757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.361266136169434,29.207674026489258,-210.6060791015625,-0.6108526587486267,0.02776826173067093,0.0,0.7912572622299194,-5.974189281463623,-49.3176383972168,-218.0836639404297,-0.7428153157234192,0.05541743338108063,0.08216772228479385,0.6621197462081909,14.544474601745605,3.8603620529174805,-217.2996063232422,-0.6358221769332886,-0.020157044753432274,0.0,0.7715723514556885
1762606573.4098854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.416258811950684,30.157838821411133,-218.27587890625,-0.684685230255127,0.033665455877780914,0.0,0.7280610203742981,-5.969119071960449,-49.47271728515625,-217.85809326171875,-0.7430406212806702,0.05617237091064453,0.08265361189842224,0.6617431640625,14.17927360534668,4.018242359161377,-219.91305541992188,-0.6783369779586792,-0.01914903335273266,0.0,0.7345013618469238
1762606573.9099731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.450310707092285,30.074783325195312,-219.6514434814453,-0.6936020255088806,0.03439150005578995,0.0,0.7195369601249695,-6.028592586517334,-49.422420501708984,-218.0453643798828,-0.7430412173271179,0.0553809255361557,0.08216439932584763,0.6618704199790955,14.213335037231445,3.805109977722168,-220.13792419433594,-0.6842748522758484,-0.018258770927786827,0.0,0.7289955019950867
1762606574.4100006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.454621315002441,30.052202224731445,-219.97293090820312,-0.6959986090660095,0.035685427486896515,0.0,0.7171558737754822,-5.937517166137695,-49.34358215332031,-218.06539916992188,-0.7428900599479675,0.05601806566119194,0.08275078237056732,0.6619130969047546,14.16625690460205,3.8438878059387207,-220.34693908691406,-0.6856881976127625,-0.01835472695529461,0.0,0.7276638746261597
1762606574.9099934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.471695899963379,29.979082107543945,-220.15809631347656,-0.6973695755004883,0.03642814978957176,0.0,0.7157852649688721,-5.893889427185059,-49.47723388671875,-217.81207275390625,-0.7431665062904358,0.055260103195905685,0.08170915395021439,0.6617957353591919,14.117073059082031,3.7719554901123047,-220.42550659179688,-0.6864932775497437,-0.018375538289546967,0.0,0.7269039154052734
