time,pressure,0A_pos_x,0A_pos_y,0A_pos_z,0A_orient_x,0A_orient_y,0A_orient_z,0A_orient_w,0B_pos_x,0B_pos_y,0B_pos_z,0B_orient_x,0B_orient_y,0B_orient_z,0B_orient_w,0C_pos_x,0C_pos_y,0C_pos_z,0C_orient_x,0C_orient_y,0C_orient_z,0C_orient_w,flow_ch3,flow_ch4,flow_ch5
1746523719,[1.16 0.   0.56 0.   0.55 1.17],126.9453659,-78.40135193,-144.73172,-0.689735293,0.005952477,0,0.724037111,99.96829987,-32.50270844,-144.8978271,-0.691257238,-0.094428256,0,0.716412365,95.78119659,-11.51415062,-136.6759796,-0.603973746,-0.144504577,0,0.783794701,0,0,0
1746523719,[1.16 0.   0.56 0.   0.55 1.17],126.951088,-78.40045929,-144.7364349,-0.689736664,0.00593777,0,0.724035919,99.96413422,-32.49642944,-144.8856659,-0.69121021,-0.094542034,0,0.716442823,95.78527069,-11.50329781,-136.656311,-0.603717268,-0.144563511,0,0.783981442,0,0,0
1746523720,[1.16 0.   0.56 0.   0.55 1.17],126.9596481,-78.40309143,-144.730072,-0.689741433,0.005948254,0,0.724031389,99.97072601,-32.5202179,-144.9039764,-0.691220224,-0.094669402,0,0.71641624,95.78051758,-11.5199852,-136.6345367,-0.603528678,-0.144447312,0,0.784148037,0,0,0
1746523720,[1.16 0.   0.56 0.   0.55 1.17],126.9534912,-78.40694427,-144.7275238,-0.689752936,0.005954437,0,0.724020362,99.97148895,-32.52431488,-144.9105225,-0.691215158,-0.094751731,0,0.716410279,95.7822876,-11.51687336,-136.6169739,-0.603361547,-0.144439176,0,0.784278154,0,0,0
1746523720,[1.16 0.   0.56 0.   0.55 1.17],126.9353333,-78.40991211,-144.7140961,-0.689750314,0.005966586,0,0.724022746,99.96308899,-32.51245117,-144.9025269,-0.691162527,-0.09485852,0,0.716446936,95.77350616,-11.51824856,-136.5993652,-0.603180051,-0.144400433,0,0.784424841,0,0,0
1746523720,[1.16 0.   0.56 0.   0.55 1.17],126.9224777,-78.41259766,-144.7123108,-0.689748406,0.005966651,0,0.724024594,99.95152283,-32.51854324,-144.8950195,-0.691158235,-0.094867833,0,0.716449857,95.78314972,-11.50796127,-136.5917206,-0.603010058,-0.144466147,0,0.784543395,0,0,0
1746523720,[1.16 0.   0.56 0.   0.55 1.17],126.9027481,-78.41505432,-144.6892395,-0.689746201,0.006007583,0,0.724026322,99.92245483,-32.52878952,-144.8694153,-0.691148162,-0.094874419,0,0.716458619,95.76857758,-11.51659584,-136.5755615,-0.602883458,-0.144406945,0,0.784651697,0,0,0
1746523720,[1.16 0.   0.56 0.   0.55 1.17],126.9128952,-78.40975189,-144.6926575,-0.689730287,0.005990916,0,0.724041581,99.93414307,-32.52713013,-144.8768005,-0.690980554,-0.095313542,0,0.716562033,95.7097702,-11.50332451,-136.4305267,-0.601624608,-0.14553982,0,0.785408139,0,0,0
1746523720,[1.16 0.   0.56 0.   0.55 1.17],126.9385834,-78.40756989,-144.7182312,-0.689735055,0.005945732,0,0.724037349,99.92884064,-32.52322388,-144.8819885,-0.690684915,-0.096010283,0,0.71675396,95.68219757,-11.52680874,-136.4311218,-0.601216078,-0.145817652,0,0.785669446,0,0,0
1746523720,[1.16 0.   0.56 0.   0.55 1.17],126.9440308,-78.40277863,-144.7482452,-0.689741313,0.005915442,0,0.724031746,99.92093658,-32.49409485,-144.8683167,-0.690393269,-0.096700713,0,0.716942191,95.65572357,-11.51347542,-136.4176483,-0.601167858,-0.145657778,0,0.785735965,0,0,0
1746523720,[1.16 0.   0.56 0.   0.55 1.17],126.9399338,-78.40229797,-144.7501221,-0.689737558,0.005932515,0,0.724035144,99.92331696,-32.49295425,-144.8674011,-0.690400422,-0.096753739,0,0.716928184,95.65625,-11.51302433,-136.4063721,-0.601088703,-0.145668104,0,0.785794556,0,0,0
1746523721,[1.16 0.   0.56 0.   0.55 1.17],126.9298706,-78.40821838,-144.7076263,-0.689727068,0.005958244,0,0.724044979,99.92350006,-32.53484344,-144.8782959,-0.690478027,-0.09661708,0,0.716871858,95.64559937,-11.53639317,-136.3982544,-0.601081371,-0.145498231,0,0.78583169,0,0,0
1746523721,[1.16 0.   0.56 0.   0.55 1.17],126.9032516,-78.41648102,-144.6798248,-0.689741611,0.00598937,0,0.724030852,99.8915863,-32.54803467,-144.8598633,-0.69048506,-0.096538,0,0.716875732,95.63551331,-11.54129601,-136.3744507,-0.601050436,-0.145420358,0,0.785869718,0,0,0
1746523721,[1.16 0.   0.56 0.   0.55 1.17],126.9253616,-78.407341,-144.7255249,-0.689750195,0.005942573,0,0.724023044,99.89936829,-32.51145172,-144.8531952,-0.690480232,-0.09658926,0,0.716873527,95.65991211,-11.52255249,-136.3628998,-0.601011097,-0.14555797,0,0.785874307,0,0,0
1746523721,[1.16 0.   0.56 0.   0.55 1.17],126.9531021,-78.40542603,-144.7363434,-0.689744174,0.005913823,0,0.724029064,99.91641235,-32.51573944,-144.8657684,-0.690543115,-0.0965624,0,0.716816604,95.68262482,-11.5027914,-136.3562164,-0.600947678,-0.145631567,0,0.785909235,0,0,0
1746523721,[1.16 0.   0.56 0.   0.55 1.17],126.9393692,-78.41407013,-144.707428,-0.689748824,0.005945357,0,0.724024355,99.90296173,-32.53609085,-144.8625488,-0.690604448,-0.096469752,0,0.716769874,95.68938446,-11.51363468,-136.3633423,-0.600955069,-0.145547211,0,0.785919189,0,0,0
1746523721,[1.16 0.   0.56 0.   0.55 1.17],126.93396,-78.40686798,-144.7225494,-0.689741075,0.005940192,0,0.724031806,99.9101944,-32.52232742,-144.8680725,-0.690606117,-0.096521102,0,0.716761351,95.69426727,-11.51553631,-136.3695221,-0.600929797,-0.145530313,0,0.78594166,0,0,0
1746523721,[0.4  0.99 0.   0.   0.66 0.03],126.9389725,-78.40341187,-144.7299042,-0.689738154,0.005924873,0,0.724034607,99.92380524,-32.5141983,-144.8913727,-0.690595865,-0.096872129,0,0.716723859,95.39260864,-11.59814548,-136.6681366,-0.603616714,-0.152567163,0,0.782540798,0,0,0
1746523721,[0.4  0.99 0.   0.   0.66 0.03],126.9712372,-78.40534973,-144.7482452,-0.689747274,0.005878408,0,0.724026382,99.97681427,-32.44793701,-145.3217316,-0.697818816,-0.09389358,0,0.710093558,95.19781494,-11.86217499,-139.0277557,-0.630819082,-0.160188064,0,0.759214759,0,0,0
1746523721,[0.4  0.99 0.   0.   0.66 0.03],126.9661102,-78.40539551,-144.7534332,-0.689749539,0.005912142,0,0.724023938,100.3942337,-32.39779282,-145.9850922,-0.708504021,-0.082560077,0,0.700860739,95.72201538,-12.13113689,-140.5878601,-0.649481714,-0.151423395,0,0.745147288,0,0,0
1746523722,[0.4  0.99 0.   0.   0.66 0.03],126.9504852,-78.39951324,-144.7506714,-0.689740002,0.005907127,0,0.724032998,100.6876144,-32.38813019,-146.3251648,-0.713364959,-0.075311244,0,0.696734309,96.14377594,-12.31021881,-141.427475,-0.6580652,-0.144727454,0,0.738920867,0,0,0
1746523722,[0.4  0.99 0.   0.   0.66 0.03],126.950943,-78.3963623,-144.7479706,-0.689734697,0.005887018,0,0.724038303,100.9190521,-32.33625031,-146.5024872,-0.716744184,-0.069141194,0,0.693900049,96.69901276,-12.36686134,-141.9958649,-0.664358854,-0.139403075,0,0.734298348,0,0,0
1746523722,[0.4  0.99 0.   0.   0.66 0.03],126.954567,-78.39369965,-144.7550354,-0.689733386,0.005872699,0,0.724039733,101.0484467,-32.37294006,-146.627533,-0.718516409,-0.065869153,0,0.692383766,96.89904022,-12.38733482,-142.2460785,-0.667349577,-0.136533514,0,0.732122362,0,0,0
1746523722,[0.4  0.99 0.   0.   0.66 0.03],126.9420471,-78.39962769,-144.7453308,-0.689751387,0.00590229,0,0.724022329,101.1767883,-32.39220428,-146.8055725,-0.720043004,-0.06270925,0,0.691090047,97.06246185,-12.42443752,-142.5631409,-0.670072436,-0.133938596,0,0.730111897,0,0,0
